(Base 2012=100)
Year,Month,State,Group,Sub Group,Description,Rural,Urban,Combined,Status,
2020,September,ALL India,,,Consumer Food Price Index,159.6,165.3,161.6,F,
2020,October,ALL India,,,Consumer Food Price Index,163.9,168.4,165.5,F,
2020,November,ALL India,,,Consumer Food Price Index,164.9,168.0,166.0,F,
2020,December,ALL India,,,Consumer Food Price Index,159.1,163.4,160.6,F,
2021,January,ALL India,,,Consumer Food Price Index,154.5,159.8,156.4,F,
2021,February,ALL India,,,Consumer Food Price Index,153.3,159.6,155.5,F,
2021,March,ALL India,,,Consumer Food Price Index,152.9,159.0,155.0,F,
2021,April,ALL India,,,Consumer Food Price Index,154.1,160.6,156.4,F,
2021,May,ALL India,,,Consumer Food Price Index,157.3,163.4,159.4,F,
2021,June,ALL India,,,Consumer Food Price Index,159.1,165.4,161.3,F,
2021,July,ALL India,,,Consumer Food Price Index,160.4,167.4,162.9,F,
2021,August,ALL India,,,Consumer Food Price Index,160.5,166.9,162.7,F,
2021,September,ALL India,,,Consumer Food Price Index,160.7,166.4,162.7,F,
2021,October,ALL India,,,Consumer Food Price Index,164.4,171.4,166.9,F,
2021,November,ALL India,,,Consumer Food Price Index,166.7,173.6,169.1,F,
2021,December,ALL India,,,Consumer Food Price Index,164.5,171.7,167.1,F,
2022,January,ALL India,,,Consumer Food Price Index,162.5,169.2,164.9,F,
2022,February,ALL India,,,Consumer Food Price Index,162.2,168.8,164.6,F,
2022,March,ALL India,,,Consumer Food Price Index,165.2,170.2,166.9,F,
2022,April,ALL India,,,Consumer Food Price Index,167.2,173.6,169.4,F,
2022,May,ALL India,,,Consumer Food Price Index,169.5,176.8,172.1,F,
2022,June,ALL India,,,Consumer Food Price Index,171.2,178.7,173.8,F,
2022,July,ALL India,,,Consumer Food Price Index,171.2,178.6,173.8,F,
2022,August,ALL India,,,Consumer Food Price Index,172.7,179.5,175.1,F,
2022,September,ALL India,,,Consumer Food Price Index,174.4,181.0,176.7,F,
2022,October,ALL India,,,Consumer Food Price Index,176.4,182.6,178.6,F,
2022,November,ALL India,,,Consumer Food Price Index,175.4,180.0,177.0,F,
2022,December,ALL India,,,Consumer Food Price Index,172.8,176.5,174.1,F,
2023,January,ALL India,,,Consumer Food Price Index,173.3,177.4,174.8,F,
2023,February,ALL India,,,Consumer Food Price Index,172.9,177.4,174.4,F,
2023,March,ALL India,,,Consumer Food Price Index,173.0,178.4,174.9,F,
2023,April,ALL India,,,Consumer Food Price Index,173.7,180.0,175.9,F,
2023,May,ALL India,,,Consumer Food Price Index,175.1,181.1,177.2,F,
2023,June,ALL India,,,Consumer Food Price Index,179.2,186.4,181.7,F,
2023,July,ALL India,,,Consumer Food Price Index,190.1,200.7,193.8,F,
2023,August,ALL India,,,Consumer Food Price Index,189.4,198.2,192.5,F,
2023,September,ALL India,,,Consumer Food Price Index,186.1,192.5,188.4,F,
2023,October,ALL India,,,Consumer Food Price Index,188.1,194.7,190.4,F,
2023,November,ALL India,,,Consumer Food Price Index,190.1,196.8,192.4,F,
2023,December,ALL India,,,Consumer Food Price Index,188.4,194.9,190.7,F,
2024,January,ALL India,,,Consumer Food Price Index,187.0,193.4,189.3,F,
2024,February,ALL India,,,Consumer Food Price Index,187.2,193.7,189.5,F,
2024,March,ALL India,,,Consumer Food Price Index,187.8,193.4,189.8,F,
2024,April,ALL India,,,Consumer Food Price Index,188.9,195.4,191.2,F,
2024,May,ALL India,,,Consumer Food Price Index,190.2,197.1,192.6,F,
2024,June,ALL India,,,Consumer Food Price Index,195.6,204.3,198.7,F,
2024,July,ALL India,,,Consumer Food Price Index,201.3,210.0,204.3,F,
2024,August,ALL India,,,Consumer Food Price Index,200.8,208.1,203.4,F,
2024,September,ALL India,,,Consumer Food Price Index,203.0,210.9,205.8,F,
2024,October,ALL India,,,Consumer Food Price Index,208.2,216.3,211.1,F,
2024,November,ALL India,,,Consumer Food Price Index,207.4,214.0,209.8,F,
2024,December,ALL India,,,Consumer Food Price Index,204.7,210.3,206.7,F,
2025,January,ALL India,,,Consumer Food Price Index,198.8,204.1,200.6,F,
2025,February,ALL India,,,Consumer Food Price Index,194.8,199.8,196.6,F,
2025,March,ALL India,,,Consumer Food Price Index,193.1,198.2,194.9,F,
2025,April,ALL India,,,Consumer Food Price Index,192.4,198.6,194.6,F,
2025,May,ALL India,,,Consumer Food Price Index,192.0,199.1,194.5,F,
2025,June,ALL India,,,Consumer Food Price Index,193.9,201.9,196.7,F,
2025,July,ALL India,,,Consumer Food Price Index,197.8,206.0,200.7,F,
2025,August,ALL India,,,Consumer Food Price Index,199.4,207.0,202.1,F,
2025,September,ALL India,,,Consumer Food Price Index,198.5,205.7,201.0,F,
2025,October,ALL India,,,Consumer Food Price Index,198.1,205.1,200.5,P,
