(Base 2012=100)
Year,Month,State,Group,Sub Group,Description,Rural,Urban,Combined,Status,
2020,September,ALL India,,,General Index (All Groups),157.5,155.2,156.4,F,
2020,October,ALL India,,,General Index (All Groups),159.8,156.7,158.4,F,
2020,November,ALL India,,,General Index (All Groups),160.7,156.9,158.9,F,
2020,December,ALL India,,,General Index (All Groups),158.5,156.0,157.3,F,
2021,January,ALL India,,,General Index (All Groups),156.8,155.8,156.3,F,
2021,February,ALL India,,,General Index (All Groups),156.7,156.5,156.6,F,
2021,March,ALL India,,,General Index (All Groups),156.7,156.9,156.8,F,
2021,April,ALL India,,,General Index (All Groups),157.6,158.0,157.8,F,
2021,May,ALL India,,,General Index (All Groups),161.1,159.5,160.4,F,
2021,June,ALL India,,,General Index (All Groups),162.1,160.4,161.3,F,
2021,July,ALL India,,,General Index (All Groups),163.2,161.8,162.5,F,
2021,August,ALL India,,,General Index (All Groups),163.6,162.2,162.9,F,
2021,September,ALL India,,,General Index (All Groups),164.0,162.3,163.2,F,
2021,October,ALL India,,,General Index (All Groups),166.3,164.6,165.5,F,
2021,November,ALL India,,,General Index (All Groups),167.6,165.6,166.7,F,
2021,December,ALL India,,,General Index (All Groups),167.0,165.2,166.2,F,
2022,January,ALL India,,,General Index (All Groups),166.4,165.0,165.7,F,
2022,February,ALL India,,,General Index (All Groups),166.7,165.5,166.1,F,
2022,March,ALL India,,,General Index (All Groups),168.7,166.5,167.7,F,
2022,April,ALL India,,,General Index (All Groups),170.8,169.2,170.1,F,
2022,May,ALL India,,,General Index (All Groups),172.5,170.8,171.7,F,
2022,June,ALL India,,,General Index (All Groups),173.6,171.4,172.6,F,
2022,July,ALL India,,,General Index (All Groups),174.3,172.3,173.4,F,
2022,August,ALL India,,,General Index (All Groups),175.3,173.1,174.3,F,
2022,September,ALL India,,,General Index (All Groups),176.4,174.1,175.3,F,
2022,October,ALL India,,,General Index (All Groups),177.9,175.3,176.7,F,
2022,November,ALL India,,,General Index (All Groups),177.8,175.0,176.5,F,
2022,December,ALL India,,,General Index (All Groups),177.1,174.1,175.7,F,
2023,January,ALL India,,,General Index (All Groups),177.8,174.9,176.5,F,
2023,February,ALL India,,,General Index (All Groups),177.9,175.6,176.8,F,
2023,March,ALL India,,,General Index (All Groups),178.0,176.3,177.2,F,
2023,April,ALL India,,,General Index (All Groups),178.8,177.4,178.1,F,
2023,May,ALL India,,,General Index (All Groups),179.8,178.2,179.1,F,
2023,June,ALL India,,,General Index (All Groups),181.9,179.9,181.0,F,
2023,July,ALL India,,,General Index (All Groups),187.6,184.7,186.3,F,
2023,August,ALL India,,,General Index (All Groups),187.6,184.5,186.2,F,
2023,September,ALL India,,,General Index (All Groups),185.8,182.2,184.1,F,
2023,October,ALL India,,,General Index (All Groups),187.0,183.4,185.3,F,
2023,November,ALL India,,,General Index (All Groups),188.2,184.2,186.3,F,
2023,December,ALL India,,,General Index (All Groups),187.6,183.6,185.7,F,
2024,January,ALL India,,,General Index (All Groups),187.3,183.5,185.5,F,
2024,February,ALL India,,,General Index (All Groups),187.4,184.0,185.8,F,
2024,March,ALL India,,,General Index (All Groups),187.8,183.6,185.8,F,
2024,April,ALL India,,,General Index (All Groups),188.5,184.7,186.7,F,
2024,May,ALL India,,,General Index (All Groups),189.4,185.7,187.7,F,
2024,June,ALL India,,,General Index (All Groups),192.2,187.8,190.2,F,
2024,July,ALL India,,,General Index (All Groups),195.3,190.3,193.0,F,
2024,August,ALL India,,,General Index (All Groups),195.4,190.3,193.0,F,
2024,September,ALL India,,,General Index (All Groups),196.7,191.4,194.2,F,
2024,October,ALL India,,,General Index (All Groups),199.5,193.7,196.8,F,
2024,November,ALL India,,,General Index (All Groups),199.4,193.2,196.5,F,
2024,December,ALL India,,,General Index (All Groups),198.4,192.0,195.4,F,
2025,January,ALL India,,,General Index (All Groups),195.9,190.6,193.4,F,
2025,February,ALL India,,,General Index (All Groups),194.5,190.1,192.5,F,
2025,March,ALL India,,,General Index (All Groups),193.9,189.9,192.0,F,
2025,April,ALL India,,,General Index (All Groups),194.0,190.9,192.6,F,
2025,May,ALL India,,,General Index (All Groups),194.3,191.5,193.0,F,
2025,June,ALL India,,,General Index (All Groups),195.5,192.6,194.2,F,
2025,July,ALL India,,,General Index (All Groups),197.6,194.3,196.1,F,
2025,August,ALL India,,,General Index (All Groups),198.7,195.0,197.0,F,
2025,September,ALL India,,,General Index (All Groups),198.8,194.9,197.0,F,
2025,October,ALL India,,,General Index (All Groups),199.0,195.4,197.3,P,
